epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.812,1.285,3.82585,1.5517,0.43448,0.45264,0.41127,0.24103,1.2705,3.07624,1.4992,0.000275778,0.000275778,0.000275778
2,383.801,1.24296,2.95757,1.46624,0.52058,0.66568,0.61226,0.36477,1.28998,3.17701,1.56125,0.000542486,0.000542486,0.000542486
3,565.472,1.28112,2.81269,1.4681,0.49314,0.60382,0.60308,0.38808,1.23358,2.63746,1.42394,0.000798199,0.000798199,0.000798199
4,736.225,1.26362,2.50682,1.45575,0.5797,0.71503,0.65459,0.39868,1.24717,2.61846,1.43984,0.00078352,0.00078352,0.00078352
5,906.664,1.27395,2.34001,1.45484,0.62833,0.75828,0.78088,0.4912,1.17901,2.11895,1.38203,0.000767026,0.000767026,0.000767026
6,1088.5,1.27246,2.215,1.45941,0.72436,0.70251,0.75515,0.48522,1.17088,2.13059,1.37699,0.000750533,0.000750533,0.000750533
7,1266.34,1.2295,2.05652,1.41494,0.79683,0.74111,0.83078,0.53942,1.17383,1.82018,1.37227,0.00073404,0.00073404,0.00073404
8,1445.1,1.1586,1.87034,1.35778,0.71965,0.81924,0.8378,0.55605,1.12834,1.74909,1.31349,0.000717546,0.000717546,0.000717546
9,1624.8,1.13793,1.69438,1.32525,0.82787,0.82314,0.88977,0.58846,1.11096,1.61757,1.31317,0.000701053,0.000701053,0.000701053
10,1803.21,1.14151,1.58662,1.32698,0.74624,0.83234,0.86689,0.57628,1.14244,1.51909,1.34105,0.000684559,0.000684559,0.000684559
11,1975.12,1.1365,1.55629,1.3317,0.87051,0.84123,0.89846,0.61815,1.05592,1.42574,1.27771,0.000668066,0.000668066,0.000668066
12,2143.66,1.06005,1.42216,1.29291,0.85491,0.84613,0.91615,0.63598,1.00095,1.38492,1.20202,0.000651573,0.000651573,0.000651573
13,2312.13,1.04208,1.24891,1.2579,0.8426,0.87499,0.91915,0.63437,1.03246,1.21757,1.23534,0.000635079,0.000635079,0.000635079
14,2480.28,1.02458,1.24951,1.24614,0.88816,0.89729,0.93531,0.64954,1.01432,1.21385,1.23628,0.000618586,0.000618586,0.000618586
15,2659.17,1.01991,1.19338,1.25519,0.87058,0.9007,0.93083,0.66558,0.99044,1.11969,1.19349,0.000602092,0.000602092,0.000602092
16,2836.06,1.00324,1.08957,1.22474,0.91936,0.92923,0.95714,0.68683,0.96683,1.04434,1.18794,0.000585599,0.000585599,0.000585599
17,3013.88,1.01111,1.06438,1.23126,0.88268,0.88717,0.94238,0.65701,1.01146,1.07695,1.22295,0.000569106,0.000569106,0.000569106
18,3193.68,0.97098,1.02897,1.2069,0.89564,0.92226,0.95309,0.68697,0.95958,1.00191,1.18495,0.000552612,0.000552612,0.000552612
19,3370.75,0.93489,0.96025,1.17092,0.89187,0.95848,0.96918,0.6911,0.97215,0.95958,1.19774,0.000536119,0.000536119,0.000536119
20,3548.06,0.9555,0.94876,1.18924,0.93125,0.94283,0.96934,0.68806,0.96818,0.91701,1.19571,0.000519625,0.000519625,0.000519625
21,3726.34,0.93392,0.91762,1.17608,0.94749,0.95649,0.97529,0.72111,0.91598,0.87145,1.146,0.000503132,0.000503132,0.000503132
22,3903.81,0.93989,0.8937,1.1914,0.94565,0.91983,0.96716,0.70109,0.9473,0.92794,1.1812,0.000486639,0.000486639,0.000486639
23,4080.67,0.91328,0.86587,1.17439,0.94124,0.95699,0.9795,0.72882,0.90248,0.8706,1.1322,0.000470145,0.000470145,0.000470145
24,4258.18,0.88137,0.82225,1.14133,0.93649,0.94122,0.97734,0.72894,0.90232,0.85945,1.13396,0.000453652,0.000453652,0.000453652
25,4435.46,0.85686,0.7854,1.13751,0.93754,0.96429,0.97907,0.7342,0.88397,0.80478,1.11644,0.000437158,0.000437158,0.000437158
26,4612.5,0.85434,0.74195,1.12039,0.95729,0.92189,0.9773,0.72262,0.94145,0.82049,1.14857,0.000420665,0.000420665,0.000420665
27,4790.67,0.84249,0.73238,1.11955,0.93645,0.97026,0.97994,0.76217,0.82744,0.75061,1.08529,0.000404172,0.000404172,0.000404172
28,4967.49,0.82503,0.71155,1.11323,0.95506,0.94725,0.97453,0.75582,0.83037,0.76957,1.08837,0.000387678,0.000387678,0.000387678
29,5145.74,0.81021,0.69455,1.11566,0.9422,0.95914,0.97644,0.74331,0.86859,0.76481,1.12486,0.000371185,0.000371185,0.000371185
30,5322.64,0.79127,0.66163,1.08087,0.96096,0.97597,0.98347,0.76095,0.82535,0.69389,1.09003,0.000354691,0.000354691,0.000354691
31,5499.98,0.78541,0.64683,1.08877,0.93841,0.94338,0.96607,0.74635,0.8217,0.75079,1.07747,0.000338198,0.000338198,0.000338198
32,5677.58,0.78108,0.63718,1.09127,0.9465,0.97854,0.98126,0.77476,0.79165,0.70092,1.05751,0.000321705,0.000321705,0.000321705
33,5855.78,0.7456,0.60562,1.06246,0.96485,0.97662,0.98202,0.75685,0.83434,0.68998,1.08634,0.000305211,0.000305211,0.000305211
34,6039.27,0.7516,0.60299,1.0464,0.9573,0.95816,0.98415,0.77079,0.80254,0.67926,1.0606,0.000288718,0.000288718,0.000288718
35,6215.76,0.73367,0.60602,1.04192,0.95774,0.97747,0.98723,0.76104,0.80074,0.66719,1.06218,0.000272224,0.000272224,0.000272224
36,6396.65,0.73946,0.58391,1.04144,0.97473,0.97379,0.98659,0.78718,0.76436,0.63254,1.03348,0.000255731,0.000255731,0.000255731
37,6573.12,0.72898,0.5853,1.02832,0.96166,0.96069,0.98239,0.76959,0.79567,0.66522,1.06339,0.000239238,0.000239238,0.000239238
38,6754.67,0.70034,0.5567,1.03049,0.96596,0.98065,0.98646,0.78487,0.7719,0.61607,1.04204,0.000222744,0.000222744,0.000222744
39,6931.89,0.69491,0.55844,1.03804,0.97276,0.96729,0.98316,0.7779,0.76446,0.64358,1.03548,0.000206251,0.000206251,0.000206251
40,7108.57,0.67358,0.52096,0.99819,0.95438,0.97943,0.98646,0.7895,0.74536,0.60139,1.03127,0.000189757,0.000189757,0.000189757
41,7287.14,0.67745,0.51995,1.00529,0.95499,0.98441,0.98672,0.78554,0.75341,0.60259,1.03141,0.000173264,0.000173264,0.000173264
42,7464.62,0.67272,0.52112,1.01037,0.96502,0.99232,0.98711,0.79056,0.72895,0.57951,1.02261,0.000156771,0.000156771,0.000156771
43,7643.36,0.63524,0.50036,0.99421,0.97489,0.98741,0.98708,0.7981,0.71909,0.57773,1.01117,0.000140277,0.000140277,0.000140277
44,7820.51,0.62279,0.48637,0.9779,0.96686,0.98461,0.9868,0.80056,0.71587,0.57792,1.01232,0.000123784,0.000123784,0.000123784
45,7998.68,0.61391,0.48868,0.98575,0.98039,0.97954,0.9889,0.802,0.71876,0.55163,1.0186,0.00010729,0.00010729,0.00010729
46,8177.51,0.6265,0.48442,0.9856,0.97614,0.98972,0.98869,0.80191,0.72112,0.54845,1.01926,9.0797e-05,9.0797e-05,9.0797e-05
47,8354.52,0.60528,0.47778,0.96464,0.97261,0.98593,0.98878,0.79718,0.71785,0.55159,1.01589,7.43036e-05,7.43036e-05,7.43036e-05
